item_mrp,item_outlet_sales,item_visibility,item_weight,outlet_years,item_fat_content_Low Fat,item_fat_content_Non-Edible,item_fat_content_Regular,outlet_location_type_Tier 1,outlet_location_type_Tier 2,outlet_location_type_Tier 3,outlet_size_High,outlet_size_Medium,outlet_size_Small,outlet_type_Grocery Store,outlet_type_Supermarket Type1,outlet_type_Supermarket Type2,outlet_type_Supermarket Type3,item_type_combined_Drinks,item_type_combined_Food,item_type_combined_Non-Consumable
118.8124,1767.0332,0.088053052,10.36,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
48.7718,236.359,0.024226902,19.6,25,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
255.2698,761.0094,0.164864915,10.726,15,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
142.2838,3348.7076800000004,0.190569038,10.513000000000002,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
102.7332,1948.1308,0.133424184,16.5,18,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
199.8084,3968.168,0.046214971,4.92,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
105.728,1278.336,0.152261999,7.0,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
60.9562,770.3306,0.068256316,11.767,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
193.4478,774.9912,0.149404057,20.75,24,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
84.925,665.8,0.045361705,15.479000000000005,20,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
212.9902,4672.5844,0.18520944,13.65,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
243.0196,5061.4116,0.182653772,19.2,25,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
155.8288,1099.9016,0.034658144,6.55,23,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
150.2392,3877.6192,0.140241213,13.35,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
250.9092,4346.74188,0.066672058,18.2,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
199.8084,4563.3932,0.115819014,11.8,15,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
147.1392,2237.088,0.032812669,17.1,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
182.6266,3135.2522,0.015623754,17.5,13,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
51.1324,259.662,0.098438394,8.5,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
141.718,419.454,0.028009382,17.5,23,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
216.8824,2838.9712,0.021327477,15.2,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
37.5506,113.8518,0.04874969,20.7,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
182.1318,5954.2494,0.063689583,16.1,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
218.7166,435.4332,0.11566015,15.85,18,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
151.3024,151.8024,0.098031771,9.96,37,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
192.2162,384.8324,0.118672537,7.68,24,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
215.0218,1923.4962,0.084765192,15.3,25,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
51.0692,147.8076,0.15028599,14.99,37,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
211.0586,844.2344,0.016993225,6.655,20,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
76.8354,456.87196000000006,0.222132498,13.45,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
53.8614,221.0456,0.011180713,14.65,35,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
38.6848,1155.8288,0.113125627,15.2,20,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
131.9942,3047.3666,0.096644015,15.1,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
90.2514,1309.49544,0.062576446,12.287,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
256.3014,5865.0322,0.061753511,10.726,15,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
194.4478,387.4956,0.066681333,11.3,25,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
260.8962,6602.7386,0.033807904,6.235,13,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
64.2852,438.0964,0.038671588,6.92,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
106.5306,1233.7274,0.184602443,11.544,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
165.8526,2960.1468,0.084245356,12.564000000000002,15,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
32.99,898.83,0.041878397,15.63,18,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
255.5698,6088.0752,0.186445212,7.825,18,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
141.0812,1139.8496,0.09344495,14.85,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
82.4908,2013.3792,0.039954281,9.395,18,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
77.6012,797.7615599999999,0.031139933,12.169,13,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
247.8118,6669.3186,0.094460314,15.309,15,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
179.6686,177.7686,0.031069203,12.826000000000002,37,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
179.9976,4889.6352,0.0,13.5,35,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
102.8674,1528.011,0.008208342,16.75,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
99.67,1337.32588,0.226084177,11.912,15,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
208.5638,7247.233,0.024482433,13.35,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
111.157,1563.2984,0.04690397,11.181,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
174.3054,1751.054,0.025342692,15.6,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
36.6532,251.6724,0.062640143,12.15,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
185.1266,2213.1192,0.161301097,15.0,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
168.5158,3005.55436,0.161182103,9.6,13,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
95.6436,1224.4062,0.075705596,11.366,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
113.3544,2150.66716,0.058812134,9.282999999999998,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
117.8492,810.9444,0.028837829,9.895,13,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
172.7764,3435.528,0.245542627,11.542,20,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
106.2306,1297.6442000000002,0.087753682,11.229,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
184.8924,1665.8316,0.005677876,5.985,20,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
88.3514,1416.8224,0.115119905,5.425,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
90.9172,89.2172,0.02579577,15.509,18,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
92.612,559.272,0.035801238,16.5,13,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
38.2848,1230.3984,0.045950475,10.1,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
133.3284,3233.65744,0.0926587,12.397,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
222.5456,5305.0944,0.045838211,5.905,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
192.4846,6114.7072,0.13564792,13.619,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
114.4518,1593.9252,0.0,9.1,25,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
104.628,745.696,0.052146456,18.75,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
153.1366,2016.17556,0.027610698,15.170000000000002,15,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
186.0924,7033.5112,0.23653561,13.425999999999998,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
180.266,898.83,0.149669322,13.35,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
262.1278,5658.76736,0.08145081,9.959,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
123.8414,2125.36676,0.050901814,13.072,15,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
84.9224,1193.1136,0.127541722,14.3,25,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
232.0668,6617.2530400000005,0.232072674,14.88,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
57.3562,177.7686,0.0,12.3,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
242.3538,3722.88728,0.04461205,18.51,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
90.1514,1198.70632,0.03005585,12.287,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
184.4292,3101.2964,0.06619442,16.5,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
251.0092,3007.285440000001,0.083661793,11.849,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
174.0422,1881.01816,0.178699961,13.731,15,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
213.2902,4247.804,0.034027909,19.75,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
78.696,1757.712,0.050353695,10.3,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
156.4656,2934.8464,0.076156245,7.475,13,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
226.2062,677.1186,0.132596101,18.25,24,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
114.486,1522.0188,0.187841082,10.195,13,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
95.9436,1027.72888,0.203536932,13.860000000000005,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
194.982,2815.0024000000003,0.073541072,13.267,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
149.1076,1182.4608,0.08259502,8.235,20,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
173.7054,5778.4782,0.044767032,12.022,37,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
103.2306,2404.2038,0.021362955,20.85,23,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
193.6504,383.5008,0.09246392,12.114999999999998,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
149.7734,296.9468,0.053591345,6.65,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
187.953,2656.542,0.073029341,11.5,20,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
143.4154,1880.48552,0.025002878,13.448000000000002,23,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
191.3188,1713.7692,0.039906377,8.365,23,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
152.3366,2115.9124,0.039055756,9.96,37,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
163.121,1794.331,0.116576702,10.5,20,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
173.9422,172.4422,0.227189581,16.6,18,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
50.8692,837.5764,0.172357491,14.65,15,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
259.7278,2863.6058,0.066014596,6.57,35,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
116.7834,1587.13404,0.013111823,12.1,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
186.024,1118.544,0.078946455,13.65,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
215.1218,2222.57356,0.076401322,8.914,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
158.4604,4278.4308,0.094697274,9.732,37,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
124.4046,2241.0828,0.106051405,11.0,20,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
177.2712,3691.1952,0.063079544,12.022,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
114.0176,2290.352,0.024304264,8.39,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
246.9144,4655.2736,0.038685802,10.0,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
111.1912,218.3824,0.122896411,11.059,37,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
153.0024,2580.6408,0.021370201,20.75,15,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
87.3514,1062.6168,0.040071131,7.97,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
211.7218,5770.4886,0.034501405,18.75,15,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
65.4826,258.3304,0.063430788,9.621,24,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
154.2682,2849.89032,0.046348967,12.02,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
235.4958,2058.653600000001,0.017746063,15.549,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
113.2518,3415.554,0.164542555,11.059,35,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
144.8128,2157.192,0.026520107,10.5,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
104.099,1073.5359199999998,0.030418998,13.376,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
180.3976,3078.6592,0.119362812,16.7,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
175.5738,3823.0236,0.122918852,16.6,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
163.5552,1787.0072,0.096386227,5.78,25,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
67.5142,593.2278,0.029535852,6.71,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
45.9428,790.9704,0.109911272,8.775,25,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
63.4194,1334.79584,0.278730642,14.214,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
199.4426,3561.0978800000003,0.156307983,6.615,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
76.2354,567.2616,0.033745202,8.155,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
133.6284,5404.9644,0.035747522,13.960000000000004,25,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
37.2874,369.78532,0.186250852,14.580000000000002,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
179.5686,2224.70412,0.039996021,17.07,13,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
104.0332,205.0664,0.038460297,15.3,24,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
123.8388,866.8716,0.04679836,17.85,13,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
85.0882,2233.0932,0.090436094,6.525,23,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
181.166,3415.554,0.04016342,13.306,37,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
156.2314,2180.89448,0.058419856,9.511,15,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
55.8956,704.5495599999999,0.057637631,13.686000000000002,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
213.7244,3037.77908,0.094294233,10.5,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
97.2726,978.726,0.13267058,11.85,25,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
81.496,869.40164,0.02914662,13.879,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
146.2444,2538.6954000000005,0.055297776,13.875,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
187.1582,3395.31368,0.054443762,12.488,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
162.2578,3265.2163600000003,0.06173052,12.34,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
38.9506,721.0614,0.03532494,8.3,35,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
188.5898,3979.22028,0.048883854,12.358,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
254.904,3795.06,0.030789914,10.726,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
108.8938,1851.98928,0.247843179,11.773,15,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
257.6646,2061.3168,0.029445361,16.35,25,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
103.0332,1230.3984,0.014301326,19.75,25,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
36.0848,372.848,0.064022881,10.695,13,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
261.5936,6002.8528,0.021065311,17.85,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
217.4192,3745.7908,0.123557061,11.846,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
121.7098,4097.3332,0.071636937,12.831,37,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
184.5924,4997.4948,0.011995271,20.25,25,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
72.338,805.618,0.0,10.8,23,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
115.3518,2277.036,0.035334201,11.059,37,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
200.5742,2580.37448,0.093883945,10.134000000000002,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
59.1904,996.0368,0.054378253,15.0,18,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
47.306,780.1844400000001,0.294939214,14.818,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
60.622,599.22,0.121632721,15.85,25,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
103.0306,2404.2038,0.139436695,7.785,35,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
117.0834,1587.79984,0.171246685,11.8,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
126.4046,5353.6978,0.020614212,12.861,37,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
89.4856,1142.5128,0.06358394,11.35,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
160.2894,323.5788,0.160178832,8.937999999999999,37,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
41.5796,41.2796,0.148392623,15.2,37,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
108.5912,1637.868,0.110762642,11.532,37,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
148.076,3368.948,0.244102315,9.96,25,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
120.1098,1807.647,0.092781435,4.785,20,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
103.1964,736.3748,0.038288087,7.785,13,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
225.2088,5762.36584,0.041065647,14.013,13,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
47.806,455.5403600000001,0.053481818,17.6,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
80.196,2157.192,0.104933928,9.5,13,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
41.648,414.1276,0.039805092,11.398,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
151.4366,1360.2294,0.057373797,11.8,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
181.1634,181.7634,0.065188619,10.828,37,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
86.0198,87.2198,0.12341737,12.5,24,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
178.566,898.83,0.028164527,12.1,13,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
157.463,3755.112,0.009995002,14.85,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
37.919,842.237,0.144094079,15.43,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
131.3626,262.3252,0.063122753,6.425,35,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
226.8404,6301.1312,0.060942632,16.0,18,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
82.225,2746.425,0.049823902,7.02,35,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
195.7768,4138.6128,0.098938169,13.1,23,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
221.9456,2210.456,0.033935576,6.695,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
147.4102,2478.7734,0.175352413,5.655,23,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
216.2534,2211.25496,0.143591586,12.224999999999998,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
169.2816,2130.82632,0.081916124,11.782,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
41.548,918.804,0.134532392,15.2,23,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
33.7216,1280.9992,0.073055148,15.4,37,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
128.9652,1679.1476,0.01405025,6.865,13,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
64.551,379.506,0.038169783,9.31,15,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
151.3366,1057.9562,0.0,6.135,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
147.4102,1273.14276,0.043168763,15.526,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
158.1288,3299.7048,0.297883712,18.1,15,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
90.8172,535.3032,0.043209581,9.3,15,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
57.0246,810.9444,0.026681262,12.35,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
158.8604,4436.8912,0.11411658,9.695,23,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
109.0228,2542.0244,0.06911065,7.485,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
